code,name,type,organizer_names,description,tagline,prizes,start_date,end_date,registration_link,team_size_limits,non_iiith_allowed
spacesc,Space Escapade,cultural,"Ansh Puvvada,Snehit Gupta","The cosmos sure are wild and untamed. Do you, brave explorer, have what it takes to be a part of this journey filled with mystery and excitement? Can you escape danger involving moon bases and exoplanets?

The Astronomy Club of IIIT Hyderabad along with Felicity'21 presents Space Escapade! The first ever online mystery room challenge of our campus with exciting prizes! Gather together in teams of two as pairs and battle it out to reach the end in time before it is too late. See you on the 25th of February at 1PM.

Top three teams to complete the challenge on time get to take away prizes worth Rs.4500!
Dear space traveller, can you muster the guts to accept this mission?",event,4500,25-02 01:00 PM,25-02 02:00 PM,,5,FALSE
deshq,Desh - Videsh Quiz,cultural,Sahil Bhatt,"Test out your knowledge of Indian and International heritage, culture and languages in the gripping Desh - विदेश Quiz brought to you by The Language Club and The TV room quiz club!",event,10000,26-02 12:00 PM,26-02 03:00 PM,,5,FALSE
footb,Footbids,cultural,Ritvik Aryan Kalra,The event is divided into 2 stages- Auctioning and Simulation. We will be auctioning off your favorite football players for the first stage followed by a UCL styled simulation FIFA to crown the winner.,event,7000,24-02 08:00 PM,24-02 12:00 AM,,5,FALSE
thunt,Treasue Hunt,cultural,"Shreyas Pradhan, Pahulpreet Singh","“When the world is threatened by powers vile,
we need those who will go that extra mile.”

So hone your deducing skills, for you and your teammates must uncover The Secret concealed in our college websites and save the world.

Remember: When you have eliminated the impossible, whatever remains, however improbable, must be the truth.",event,8000,25-02 12:00 PM,25-02 12:00 AM,,5,FALSE
rplay,Roast Play,cultural,"Shreyas Pradhan, Pahulpreet Singh","RoastPlay is an epic tournament where you and your teammate will be role-playing as fictional characters roasting and savouring your opponents' pain, who will also be role-playing as fictional characters. Join us for a battle of wits against characters from your favourite universes. 

Warning: There's gonna be bloodshed.
Fight to the Death. May The Force Be With You.
",event,7000,24-02 12:00 PM,24-02 03:00 PM,,5,FALSE
slamp,Slam Poetry,cultural,"Shreyas Pradhan, Pahulpreet Singh","Recite a story, poetry, haiku or display any other similar oratory talent you possess. You’re also welcome to watch your friends perform. Enjoy this chill-night in the Mic-Drop event. ",event,0,26-02 11:00 PM,26-02 12:00 AM,,5,FALSE
litq,Lit Quiz,cultural,"Mayank Goel, Ashuthosh Bharadwaj","What was Tony Stark’s first suit called?

So you think you know the correct answer? Test your ”pop-sense“ against others at LitQuiz, Felicity ’21. But remember - when you play the Game of Probes, you win or you die. There is no middle ground.",event,6000,28-02 06:30 PM,28-02 08:00 PM,,5,FALSE
ambush,AMBUSH,technical,"Anjali Singh, Vedant Mundheda","As you might have seen news of drones coming from our neighbouring countries; some
were shot down by the BSF, also there was an anti drone system deployed in Red Fort
also. Taking inspiration from that we are bringing an event ""Ambush"".",event,10000,28-02 08:30 PM,28-02 09:30 PM,,5,FALSE
bithunt,Bit Hunting,technical,"Akash Jain,Aravin Narayan","Welcome to the world of Digital Hunting where you test your thinking capacity
and speed? Here we have interactive questions in Logic and Hardware with
knowledge from Computer Science and Electronics. Let’s see who finds the
Final Flag fist!!",event,5000,26-02 15:00 PM,26-02 16:30 PM,,5,FALSE
paint,Paint Workshop,cultural,"Jivitesh Jain,Mayank Modi","Watercolours are one of the oldest media man has used to express his mind, when words fell short.

Join us for a watercolouring workshop by the very talented indian_sky_scrapers (Mr Deepak Sharma). Mr Deepak is an immensely popular watercolour artist on Instagram, and specialises in painting organic landscapes.

In this workshop, Mr Deepak will cover watercolours from the absolute basics, covering both the skills of planning the scene as well as the techniques of using the medium.

Open to all school and college students, registration free but mandatory. Register now!",event,3000,25-02 02:00 PM,25-02 05:00 PM,,5,FALSE
